"Line","Id","Ref","Tipo","Calculate"
"705","prov24-bind","prov24","contador-provincia","count ( $centroTrabajo-provinciaCL[string()='24'] )"
"708","prov34-bind","prov34","contador-provincia","count ( $centroTrabajo-provinciaCL[string()='34'] )"
"711","prov37-bind","prov37","contador-provincia","count ( $centroTrabajo-provinciaCL[string()='37'] )"
"714","prov40-bind","prov40","contador-provincia","count ( $centroTrabajo-provinciaCL[string()='40'] )"
"717","prov42-bind","prov42","contador-provincia","count ( $centroTrabajo-provinciaCL[string()='42'] )"
"720","prov47-bind","prov47","contador-provincia","count ( $centroTrabajo-provinciaCL[string()='47'] )"
"723","prov49-bind","prov49","contador-provincia","count ( $centroTrabajo-provinciaCL[string()='49'] )"
"727","maxProvincia-bind","maxProvincia","otro","max (($prov05, $prov09, $prov24,$prov34, $prov37, $prov40,$prov42, $prov47, $prov49, 0 ))"
"730","posMax-bind","posMax","otro","if ($maxProvincia='0') then (' ') else if ($prov05 = $maxProvincia) then ('05') else if ($..."
"738","personaFisica-nombre-bind","personaFisica-nombre","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='false') then ('') else ."
"744","personaFisica-apellido1-bind","personaFisica-apellido1","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='false') then ('') else ."
"750","personaFisica-apellido2-bind","personaFisica-apellido2","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='false') then ('') else ."
"756","personaFisica-domicilio-bind","personaFisica-domicilio","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='false') then ('') else ."
"761","personaFisica-provincia-bind","personaFisica-provincia","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='false') then ('') else ."
"766","personaFisica-municipio-bind","personaFisica-municipio","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='false') then ('') else ."
"771","personaFisica-cPostal-bind","personaFisica-cPostal","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='false') then ('') else ."
"780","personaFisica-tipoVia-bind","personaFisica-tipoVia","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='false') then ('') else ."
"786","personaFisica-nombreVia-bind","personaFisica-nombreVia","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='false') then ('') else ."
"792","personaFisica-numero-bind","personaFisica-numero","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='false') then ('') else ."
"797","personaFisica-portal-bind","personaFisica-portal","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='false') then ('') else ."
"802","personaFisica-escalera-bind","personaFisica-escalera","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='false') then ('') else ."
"806","personaFisica-piso-bind","personaFisica-piso","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='false') then ('') else ."
"811","personaFisica-puerta-bind","personaFisica-puerta","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='false') then ('') else ."
"817","autonomo-nombre-bind","autonomo-nombre","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='true') then ('') else ."
"822","autonomo-apellido1-bind","autonomo-apellido1","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='true') then ('') else ."
"827","autonomo-apellido2-bind","autonomo-apellido2","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='true') then ('') else ."
"833","autonomo-domicilioFiscal-bind","autonomo-domicilioFiscal","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='true') then ('') else ."
"837","autonomo-provincia-bind","autonomo-provincia","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='true') then ('') else ."
"841","autonomo-municipio-bind","autonomo-municipio","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='true') then ('') else ."
"847","autonomo-denominacion-bind","autonomo-denominacion","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='true') then ('') else ."
"851","autonomo-nss-bind","autonomo-nss","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='true') then ('') else ."
"860","autonomo-fechaAltaSs-bind","autonomo-fechaAltaSs","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='true') then ('') else ."
"867","autonomo-cnae-bind","autonomo-cnae","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='true') then ('') else ."
"874","autonomo-dCnae-bind","autonomo-dCnae","api-externa-cnae-iae","doc(concat('https://www.ae.jcyl.es/cnaeiae/get/cnaeid/', $autonomo-cnae))/cnaes/cnae/DCnae..."
"876","autonomo-cp-bind","autonomo-cp","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='true') then ('') else ."
"885","autonomo-iae-bind","autonomo-iae","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='true') then ('') else ."
"893","autonomo-seccionIae-bind","autonomo-seccionIae","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='true') then ('') else ."
"901","autonomo-ccc-bind","autonomo-ccc","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string() !='true') then ('') else ."
"910","autonomo-descripcionIae-bind","autonomo-descripcionIae","api-externa-cnae-iae","doc(concat('https://www.ae.jcyl.es/cnaeiae/get/nseciaeid/', $autonomo-iae,'/', $autonomo-s..."
"916","firmaEn-bind","firmaEn","vaciar-segun-condicion","if ( string($opcionImprimir) != 'true') then '' else ."
"920","firmaFecha-bind","firmaFecha","vaciar-segun-condicion","if ( string($opcionImprimir) != 'true') then '' else ."
"926","firmaFirma-bind","firmaFirma","vaciar-segun-condicion","if ( string($opcionImprimir) != 'true') then '' else ."
"935","opcionImprimir-bind","opcionImprimir","vaciar-segun-autonomo","if ($documentoIdent-autonomo/string()='true') then '' else ."
"964","conceptoE1-subconcepto03-V92791-bind","conceptoE1-subconcepto03-V92791","normalizar-nif-iban","for $id in replace(upper-case(xxf:trim(.)),'[^A-Z0-9]','') return if (matches($id,'^\d{1,7..."
"986","representante-nif-bind","representante-nif","normalizar-nif-iban","if ($conRepresentante ne 'true') then '' else for $id in replace(upper-case(xxf:trim(.)),'..."
"998","representante-nombre-bind","representante-nombre","vaciar-segun-condicion","if ($conRepresentante ne 'true') then '' else ."
"1004","representante-apellido1-bind","representante-apellido1","vaciar-segun-condicion","if ($conRepresentante ne 'true') then '' else ."
"1011","representante-apellido2-bind","representante-apellido2","vaciar-segun-condicion","if ($conRepresentante ne 'true') then '' else ."
"1021","representante-tipodoc-bind","representante-tipodoc","inferir-tipo-documento","for $id in $representante-nif return ( if (matches($id,'^\d{8}[TRWAGMYFPDXBNJZSQVHLCKE]$')..."
"1064","documentoIdent-nifSol-bind","documentoIdent-nifSol","normalizar-nif-iban","for $id in replace(upper-case(xxf:trim(.)),'[^A-Z0-9]','') return if (matches($id,'^\d{1,7..."
"1073","documentoIdent-tipodoc-bind","documentoIdent-tipodoc","inferir-tipo-documento","for $id in $documentoIdent-nifSol return ( if (matches($id,'^\d{8}[TRWAGMYFPDXBNJZSQVHLCKE..."
"1080","tipoSolicitante-bind","tipoSolicitante","otro","if ( $documentoIdent-tipodoc='dni' or $documentoIdent-tipodoc='nie') then ( if ( $document..."
"1085","documentoIdent-nifLetra-bind","documentoIdent-nifLetra","otro","if ($documentoIdent-tipodoc !='cif') then ('') else substring($documentoIdent-nifSol,1,1)"
"1093","notifica-opcion-bind","notifica-opcion","otro","if ($documentoIdent-tipodoc/string() ='cif' or $documentoIdent-autonomo/string()='true') t..."
"1106","notificacion-nombreBEC-bind","notificacion-nombreBEC","otro","if ($notificacion-destinatario = 'personaJuridica') then ('') else ."
"1113","notificacion-apellido1-bind","notificacion-apellido1","otro","if ($notificacion-destinatario = 'personaJuridica') then ('') else ."
"1119","notificacion-apellido2-bind","notificacion-apellido2","otro","if ($notificacion-destinatario = 'personaJuridica') then ('') else ."
"1126","notificacion-nif-bind","notificacion-nif","normalizar-nif-iban","if ( string($notifica-opcion) = 'papel') then '' else for $id in replace(upper-case(xxf:tr..."
"1139","notificacion-email-bind","notificacion-email","vaciar-segun-condicion","if ( string($notifica-opcion) = 'papel') then '' else ."
"1146","notificacion-destinatario-bind","notificacion-destinatario","vaciar-segun-condicion","if ( string($notifica-opcion) = 'papel') then '' else ."
"1155","notificacion-razonSocial-bind","notificacion-razonSocial","otro","if ($notificacion-destinatario != 'personaJuridica') then ('') else ."
"1171","notificacion-tipodoc-bind","notificacion-tipodoc","inferir-tipo-documento","for $id in $notificacion-nif return ( if (matches($id,'^\d{8}[TRWAGMYFPDXBNJZSQVHLCKE]$'))..."
"1180","notificaPostal-nif-bind","notificaPostal-nif","normalizar-nif-iban","if ( string($notifica-opcion) != 'papel') then '' else for $id in replace(upper-case(xxf:t..."
"1190","notificaPostal-nombre-bind","notificaPostal-nombre","vaciar-segun-condicion","if ( string($notifica-opcion) != 'papel') then '' else ."
"1197","notificaPostal-apellido1-bind","notificaPostal-apellido1","vaciar-segun-condicion","if ( string($notifica-opcion) != 'papel') then '' else ."
"1204","notificaPostal-apellido2-bind","notificaPostal-apellido2","vaciar-segun-condicion","if ( string($notifica-opcion) != 'papel') then '' else ."
"1212","notificaPostal-domicilio-bind","notificaPostal-domicilio","vaciar-segun-condicion","if ( string($notifica-opcion) != 'papel') then '' else ."
"1218","notificaPostal-cPostal-bind","notificaPostal-cPostal","vaciar-segun-condicion","if ( string($notifica-opcion) != 'papel') then '' else ."
"1227","notificaPostal-provincia-bind","notificaPostal-provincia","vaciar-segun-condicion","if ( string($notifica-opcion) != 'papel') then '' else ."
"1232","notificaPostal-municipio-bind","notificaPostal-municipio","vaciar-segun-condicion","if ( string($notifica-opcion) != 'papel') then '' else ."
"1237","notificaPostal-localidad-bind","notificaPostal-localidad","vaciar-segun-condicion","if ( string($notifica-opcion) != 'papel') then '' else ."
"1247","otrosDatosEmpresa-tipoEmpresaAuto-bind","otrosDatosEmpresa-tipoEmpresaAuto","otro","substring($documentoIdent-nifSol,1,1)"
"1252","otrosDatosEmpresa-vinculadas-bind","otrosDatosEmpresa-vinculadas","otro","if ($documentoIdent-tipodoc !='cif') then 'false' else ."
"1257","empresa-razonSocial-bind","empresa-razonSocial","otro","if ($documentoIdent-tipodoc !='cif') then ('') else ."
"1262","empresa-domicilio-bind","empresa-domicilio","otro","if ($documentoIdent-tipodoc !='cif') then ('') else ."
"1266","empresa-provincia-bind","empresa-provincia","otro","if ($documentoIdent-tipodoc !='cif') then ('') else ."
"1270","empresa-municipio-bind","empresa-municipio","otro","if ($documentoIdent-tipodoc !='cif') then ('') else ."
"1274","control-spj-bind","control-spj","tamano-empresa","if ($otrosDatosEmpresa-tipoEmpresaAuto ='E' or $otrosDatosEmpresa-tipoEmpresaAuto ='H') th..."
"1279","empresa-cPostal-bind","empresa-cPostal","otro","if ($documentoIdent-tipodoc !='cif') then ('') else ."
"1288","empresa-cnae-bind","empresa-cnae","otro","if ($documentoIdent-tipodoc !='cif') then ('') else ."
"1295","empresa-dCnae-bind","empresa-dCnae","api-externa-cnae-iae","doc(concat('https://www.ae.jcyl.es/cnaeiae/get/cnaeid/', $empresa-cnae))/cnaes/cnae/DCnae/..."
"1394","provincializador-bind","provincializador","otro","$empresa-provincia"
"1398","centroGestor-bind","centroGestor","centro-directivo-provincia","if ($provincializador = '05') then ('GERENCIA PROVINCIAL DEL SERVICIO PÃšBLICO DE EMPLEO D..."
"1449","certifico-numeroDiscapacitados-bind","certifico-numeroDiscapacitados","otro","if ($declaracionesResponsables-contrataDicapacitadosNumero/string()='false') then (0) else..."
"1467","certifico-integracionLaboral-resolucionDictadaPor-bind","certifico-integracionLaboral-resolucionDictadaPor","otro","if ($certifico-integracionLaboral-opcion != 'exento') then ('') else ."
"1475","certifico-integracionLaboral-fechaResolucion-bind","certifico-integracionLaboral-fechaResolucion","otro","if ($certifico-integracionLaboral-opcion != 'exento') then ('') else ."
"1516","certifico-porcentDiscapacitadosValor-bind","certifico-porcentDiscapacitadosValor","otro","if ($certifico-numeroTrabajadoresValor gt 0 and $certifico-numeroDiscapacitadosValor gt 0)..."
"1535","certifico-porcentajeDiscapacitados-bind","certifico-porcentajeDiscapacitados","otro","if ($declaracionesResponsables-contrataDicapacitadosPorcent/string()='false') then (0) els..."
"1731","conceptoE4-V91587-bind","conceptoE4-V91587","normalizar-nif-iban","for $id in replace(upper-case(xxf:trim(.)),'[^A-Z0-9]','') return if (matches($id,'^\d{1,7..."
"1757","financiacion-procedencia-bind","financiacion-procedencia","otro","if ($declaracionesResponsables-ingresosFinanciadosOpc/string()='false') then ('') else ."
"1764","financiacion-destino-bind","financiacion-destino","otro","if ($declaracionesResponsables-ingresosFinanciadosOpc/string()='false') then ('') else ."
"1771","financiacion-importe-bind","financiacion-importe","otro","if ($declaracionesResponsables-ingresosFinanciadosOpc/string()='false') then ('') else ."
"1776","financiacion-fechaIngreso-bind","financiacion-fechaIngreso","otro","if ($declaracionesResponsables-ingresosFinanciadosOpc/string()='false') then ('') else ."
"1794","datosOtrasAyudas-otrasAyudasProyecto-organismo-bind","datosOtrasAyudas-otrasAyudasProyecto-organismo","otro","if ($declaracionesResponsables-concurrenciaAyudasOpc/string()='false') then ('') else ."
"1803","datosOtrasAyudas-otrasAyudasProyecto-expediente-bind","datosOtrasAyudas-otrasAyudasProyecto-expediente","otro","if ($declaracionesResponsables-concurrenciaAyudasOpc/string()='false') then ('') else ."
"1810","datosOtrasAyudas-otrasAyudasProyecto-importeSolicitado-bind","datosOtrasAyudas-otrasAyudasProyecto-importeSolicitado","otro","if ($declaracionesResponsables-concurrenciaAyudasOpc/string()='false') then ('') else ."
"1816","datosOtrasAyudas-otrasAyudasProyecto-fechaResolucion-bind","datosOtrasAyudas-otrasAyudasProyecto-fechaResolucion","otro","if ($declaracionesResponsables-concurrenciaAyudasOpc/string()='false') then ('') else ."
"1826","datosOtrasAyudas-otrasAyudasProyecto-importeConcedido-bind","datosOtrasAyudas-otrasAyudasProyecto-importeConcedido","otro","if ($declaracionesResponsables-concurrenciaAyudasOpc/string()='false') then ('') else ."
"1832","datosOtrasAyudas-otrasAyudasProyecto-fechaUltimoPago-bind","datosOtrasAyudas-otrasAyudasProyecto-fechaUltimoPago","otro","if ($declaracionesResponsables-concurrenciaAyudasOpc/string()='false') then ('') else ."
"1842","datosOtrasAyudas-otrasAyudasProyecto-importeTotalPagado-bind","datosOtrasAyudas-otrasAyudasProyecto-importeTotalPagado","otro","if ($declaracionesResponsables-concurrenciaAyudasOpc/string()='false') then ('') else ."
"1848","datosOtrasAyudas-otrasAyudasProyecto-anno-bind","datosOtrasAyudas-otrasAyudasProyecto-anno","otro","if ($declaracionesResponsables-concurrenciaAyudasOpc/string()='false') then ('') else ."
"1858","datosOtrasAyudas-otrasAyudasProyecto-fechaSolicitud-bind","datosOtrasAyudas-otrasAyudasProyecto-fechaSolicitud","otro","if ($declaracionesResponsables-concurrenciaAyudasOpc/string()='false') then ('') else ."
"1866","datosOtrasAyudas-otrasAyudasProyecto-minis-bind","datosOtrasAyudas-otrasAyudasProyecto-minis","otro","if ($declaracionesResponsables-concurrenciaAyudasOpc/string()='false') then ('') else ."
"1882","datosOtrasAyudas-otrasAyudasMinimis-organismo-bind","datosOtrasAyudas-otrasAyudasMinimis-organismo","otro","if ($declaracionesResponsables-concurrenciaAyudasMinimisOpc/string()='false') then ('') el..."
"1891","datosOtrasAyudas-otrasAyudasMinimis-expediente-bind","datosOtrasAyudas-otrasAyudasMinimis-expediente","otro","if ($declaracionesResponsables-concurrenciaAyudasMinimisOpc/string()='false') then ('') el..."
"1897","datosOtrasAyudas-otrasAyudasMinimis-fechaSolicitud-bind","datosOtrasAyudas-otrasAyudasMinimis-fechaSolicitud","otro","if ($declaracionesResponsables-concurrenciaAyudasMinimisOpc/string()='false') then ('') el..."
"1907","datosOtrasAyudas-otrasAyudasMinimis-importeSolicitado-bind","datosOtrasAyudas-otrasAyudasMinimis-importeSolicitado","otro","if ($declaracionesResponsables-concurrenciaAyudasMinimisOpc/string()='false') then ('') el..."
"1913","datosOtrasAyudas-otrasAyudasMinimis-fechaResolucion-bind","datosOtrasAyudas-otrasAyudasMinimis-fechaResolucion","otro","if ($declaracionesResponsables-concurrenciaAyudasMinimisOpc/string()='false') then ('') el..."
"1923","datosOtrasAyudas-otrasAyudasMinimis-importeConcedido-bind","datosOtrasAyudas-otrasAyudasMinimis-importeConcedido","otro","if ($declaracionesResponsables-concurrenciaAyudasMinimisOpc/string()='false') then ('') el..."
"1929","datosOtrasAyudas-otrasAyudasMinimis-fechaUltimoPago-bind","datosOtrasAyudas-otrasAyudasMinimis-fechaUltimoPago","otro","if ($declaracionesResponsables-concurrenciaAyudasMinimisOpc/string()='false') then ('') el..."
"1939","datosOtrasAyudas-otrasAyudasMinimis-importeTotalPagado-bind","datosOtrasAyudas-otrasAyudasMinimis-importeTotalPagado","otro","if ($declaracionesResponsables-concurrenciaAyudasMinimisOpc/string()='false') then ('') el..."
"1945","datosOtrasAyudas-otrasAyudasMinimis-anno-bind","datosOtrasAyudas-otrasAyudasMinimis-anno","otro","if ($declaracionesResponsables-concurrenciaAyudasMinimisOpc/string()='false') then ('') el..."
"1955","datosOtrasAyudas-otrasAyudasMinimis-minis-bind","datosOtrasAyudas-otrasAyudasMinimis-minis","otro","if ($declaracionesResponsables-concurrenciaAyudasMinimisOpc/string()='false') then ('') el..."
"2013","anexos-idRepresentante-bind","anexos-idRepresentante","otro","if($permisosConsultaSufo-sufoid1/string()='true') then 'false' else ."
"2079","anexos-certSegSocial-bind","anexos-certSegSocial","otro","if($permisosConsultaSufo-sufoid26/string()='true') then 'false' else ."
